dataNotificacao,municipioNotificacao,totalUti,totalObitos
2020-04-30,MESQUITA,0,0
2020-04-30,MIGUEL PEREIRA,18,1
2020-04-30,NITEROI,48,5
2020-04-30,NOVA FRIBURGO,24,0
2020-04-30,PETROPOLIS,70,0
2020-04-30,PIRAI,0,0
2020-04-30,RIO DE JANEIRO,938,39
2020-04-30,SANTO ANTONIO DE PADUA,0,0
2020-04-30,SAO GONCALO,3,1
2020-04-30,SAO SEBASTIAO DO ALTO,0,0
2020-04-30,SAQUAREMA,12,1
2020-04-30,TRAJANO DE MORAES,0,0
2020-04-30,VALENCA,18,0
2020-05-01,APERIBE,0,0
2020-05-01,ARARUAMA,6,0
2020-05-01,ARMACAO DOS BUZIOS,0,0
2020-05-01,BELFORD ROXO,46,3
2020-05-01,BOM JESUS DO ITABAPOANA,8,0
2020-05-01,CAMBUCI,3,0
2020-05-01,CARMO,0,0
2020-05-01,ITABORAI,7,0
2020-05-01,ITAOCARA,1,0
2020-05-01,ITATIAIA,0,0
2020-05-01,MARICA,20,0
2020-05-01,MESQUITA,0,2
2020-05-01,MIGUEL PEREIRA,18,0
2020-05-01,NITEROI,52,4
2020-05-01,NOVA FRIBURGO,23,2
2020-05-01,NOVA IGUACU,6,1
2020-05-01,PARACAMBI,0,2
2020-05-01,PETROPOLIS,76,0
2020-05-01,PIRAI,0,0
2020-05-01,RIO DE JANEIRO,1008,45
2020-05-01,SANTO ANTONIO DE PADUA,0,0
2020-05-01,SAO GONCALO,3,0
2020-05-01,SAO SEBASTIAO DO ALTO,0,0
2020-05-01,SAQUAREMA,12,0
2020-05-01,TRAJANO DE MORAES,0,0
2020-05-01,VALENCA,18,0
2020-05-02,APERIBE,0,0
2020-05-02,ARARUAMA,6,0
2020-05-02,ARMACAO DOS BUZIOS,0,0
2020-05-02,BELFORD ROXO,43,0
2020-05-02,BOM JESUS DO ITABAPOANA,9,0
2020-05-02,CAMBUCI,2,0
2020-05-02,CARMO,0,0
2020-05-02,ENGENHEIRO PAULO DE FRONTIN,0,3
2020-05-02,ITABORAI,6,1
2020-05-02,ITAOCARA,3,1
2020-05-02,ITATIAIA,0,0
2020-05-02,MARICA,20,0
2020-05-02,MESQUITA,0,3
2020-05-02,NITEROI,49,3
2020-05-02,NOVA FRIBURGO,23,1
2020-05-02,NOVA IGUACU,7,2
2020-05-02,PARACAMBI,0,1
2020-05-02,PETROPOLIS,77,1
2020-05-02,PIRAI,0,0
2020-05-02,RIO DE JANEIRO,939,46
2020-05-02,SANTO ANTONIO DE PADUA,0,0
2020-05-02,SAO SEBASTIAO DO ALTO,0,0
2020-05-02,SAQUAREMA,13,0
2020-05-02,TRAJANO DE MORAES,0,0
2020-05-02,VALENCA,17,0
2020-05-03,APERIBE,0,0
2020-05-03,ARARUAMA,12,0
2020-05-03,ARMACAO DOS BUZIOS,0,0
2020-05-03,BELFORD ROXO,40,4
2020-05-03,BOM JESUS DO ITABAPOANA,9,0
2020-05-03,CAMBUCI,2,0
2020-05-03,CARMO,0,1
2020-05-03,ITABORAI,7,0
2020-05-03,ITAOCARA,2,0
2020-05-03,ITATIAIA,0,0
2020-05-03,MARICA,22,0
2020-05-03,MESQUITA,0,4
2020-05-03,MIGUEL PEREIRA,18,0
2020-05-03,NITEROI,50,6
2020-05-03,NOVA FRIBURGO,19,2
2020-05-03,NOVA IGUACU,6,0
2020-05-03,PARACAMBI,0,0
2020-05-03,PETROPOLIS,71,3
2020-05-03,PIRAI,0,1
2020-05-03,RIO DE JANEIRO,832,34
2020-05-03,SANTO ANTONIO DE PADUA,0,0
2020-05-03,SAO GONCALO,1,3
2020-05-03,SAO SEBASTIAO DO ALTO,0,0
2020-05-03,SAQUAREMA,12,0
2020-05-03,TRAJANO DE MORAES,0,0
2020-05-03,VALENCA,20,0
2020-05-04,APERIBE,0,0
2020-05-04,ARARUAMA,12,0
2020-05-04,ARMACAO DOS BUZIOS,0,0
2020-05-04,BELFORD ROXO,39,4
2020-05-04,BOM JESUS DO ITABAPOANA,8,0
2020-05-04,CAMBUCI,1,0
2020-05-04,CARMO,0,0
2020-05-04,ITABORAI,10,6
2020-05-04,ITAOCARA,2,0
2020-05-04,ITATIAIA,0,0
2020-05-04,MARICA,29,0
2020-05-04,MESQUITA,0,2
2020-05-04,MIGUEL PEREIRA,18,0
2020-05-04,NITEROI,49,7
2020-05-04,NOVA FRIBURGO,23,0
2020-05-04,NOVA IGUACU,8,1
2020-05-04,PARACAMBI,0,0
2020-05-04,PETROPOLIS,68,0
2020-05-04,PIRAI,0,0
2020-05-04,RIO DE JANEIRO,1004,53
2020-05-04,SANTO ANTONIO DE PADUA,0,0
2020-05-04,SAO FIDELIS,2,0
2020-05-04,SAO GONCALO,1,1
2020-05-04,SAO SEBASTIAO DO ALTO,0,0
2020-05-04,SAQUAREMA,11,0
2020-05-04,TRAJANO DE MORAES,0,0
2020-05-04,VALENCA,19,1
2020-05-05,APERIBE,0,0
2020-05-05,BELFORD ROXO,7,2
2020-05-05,BOM JESUS DO ITABAPOANA,8,0
2020-05-05,CAMBUCI,1,0
2020-05-05,CARMO,0,0
2020-05-05,ENGENHEIRO PAULO DE FRONTIN,0,0
2020-05-05,ITABORAI,12,0
2020-05-05,ITAOCARA,4,0
2020-05-05,ITATIAIA,0,0
2020-05-05,MARICA,28,0
2020-05-05,MESQUITA,0,0
2020-05-05,MIGUEL PEREIRA,52,1
